Player,Rank
Taylor Walls,-9182853.930822726
Elehuris Montero,-9182853.947513899
Byron Buxton,-9182854.009562321
Thomas Saggese,-9182854.01095589
Carson Kelly,-9182854.012358675
Jeremy Peña,-9182854.06072111
Miguel Vargas,-9182854.099910006
Xander Bogaerts,-9182854.104807256
René Pinto,-9182854.144473655
Christian Yelich,-9182854.147970123
Donovan Solano,-9182854.153523697
Joey Ortiz,-9182854.161722742
Will Wagner,-9182854.172623029
Justin Foscue,-9182854.228648184
Matt Mervis,-9182854.265499929
Andrew Mccutchen,-9182854.3015282
Mike Tauchman,-9182854.343669519
Rob Brantly,-9182854.365533466
Kris Bryant,-9182854.411205541
Charlie Blackmon,-9182854.415366236
Taylor Ward,-9182854.50446981
Charles Leblanc,-9182854.551839309
Juan Soto,-9182854.560047051
Jonathan Aranda,-9182854.590104172
Oliver Dunn,-9182854.624416476
Mike Ford,-9182854.62493574
Oscar Colás,-9182854.650414048
Jonatan Clase,-9182854.703522658
Corbin Carroll,-9182854.711021405
Buddy Kennedy,-9182854.78459648
Kyren Paris,-9182854.800526876
Kody Clemens,-9182854.808783958
Drew Waters,-9182854.833952118
Alex Verdugo,-9182854.871153362
Ronald Acuña,-9182854.87648296
Yan Gomes,-9182854.897730054
Andy Pages,-9182854.937220408
Josh Smith,-9182854.944977434
Cody Bellinger,-9182854.96169688
Patrick Bailey,-9182854.967782896
Alika Williams,-9182855.03474775
Yoán Moncada,-9182855.077660805
Víctor Robles,-9182855.079331549
J. t. Realmuto,-9182855.08187106
Rowdy Tellez,-9182855.096467065
James Wood,-9182855.132027915
Jake Mccarthy,-9182855.146441262
Isaac Collins,-9182855.151973767
Tomás Nido,-9182855.187487239
José Ramírez,-9182855.225569403
Bryson Stott,-9182855.24270082
Dashawn Keirsey,-9182855.250865802
Josh Rojas,-9182855.264113754
Jon Berti,-9182855.304645527
Dylan Moore,-9182855.360055512
Rob Refsnyder,-9182855.37424811
David Fletcher,-9182855.378012417
Stone Garrett,-9182855.41136316
Michael Conforto,-9182855.449443227
Gary Sánchez,-9182855.454261398
Connor Joe,-9182855.552940812
Braden Shewmake,-9182855.613371888
Giancarlo Stanton,-9182855.640872683
José Miranda,-9182855.69061861
Aaron Hicks,-9182855.708134672
Chas Mccormick,-9182855.74447479
Austin Martin,-9182855.747554425
Wilmer Flores,-9182855.74818177
Brett Harris,-9182855.772990668
Christian Vázquez,-9182855.851379944
Cj Alexander,-9182855.886530569
Nolan Schanuel,-9182855.898611385
Coby Mayo,-9182855.914229881
Jason Delay,-9182855.983603895
Jared Triolo,-9182856.027182868
Junior Caminero,-9182856.038784966
Marcus Semien,-9182856.040285317
Trevor Story,-9182856.162810586
Lourdes Gurriel,-9182856.211916309
Kameron Misner,-9182856.234792562
Ezequiel Duran,-9182856.283279851
Michael Helman,-9182856.314745229
Willi Castro,-9182856.352990102
Niko Kavadas,-9182856.374152906
Carlos Santana,-9182856.408503572
Tyler Freeman,-9182856.42039435
José Altuve,-9182856.429432299
Josh Bell,-9182856.470165942
Victor Scott,-9182856.508184895
Mark Canha,-9182856.610181322
Dairon Blanco,-9182856.736822011
Nick Senzel,-9182856.827352714
Sean Bouchard,-9182856.855159046
Kerry Carpenter,-9182857.018567784
Blake Perkins,-9182857.060077637
Ernie Clement,-9182857.218882972
Luken Baker,-9182857.237665582
Cal Raleigh,-9182857.290218564
