winner,loser,score
"Abbott, Andrew","Heaney, Andrew",24.301387786865234
"Abbott, Andrew","Heasley, Jonathan",0.9035450220108032
"Abbott, Andrew","Hedges, Austin",1.5100771188735962
"Abbott, Andrew","Helsley, Ryan",21.598499298095703
"Abbott, Andrew","Hendricks, Kyle",3.512495994567871
"Abbott, Andrew","Henriquez, Edgardo",2.4565601348876953
"Abbott, Andrew","Henriquez, Ronny",3.474616289138794
"Abbott, Andrew","Hensley, David",0.3453204035758972
"Abbott, Andrew","Hentges, Sam",11.334939956665039
"Abbott, Andrew","Herget, Jimmy",6.975811958312988
"Abbott, Andrew","Herget, Kevin",2.234807014465332
"Abbott, Andrew","Hernandez, Jose E.",1.2639585733413696
"Abbott, Andrew","Hernandez, Nick",6.699214935302734
"Abbott, Andrew","Hernández, Daysbel",5.165862083435059
"Abbott, Andrew","Hernández, Elieser",2.5121254920959473
"Abbott, Andrew","Herrin, Tim",6.415141582489014
"Abbott, Andrew","Herz, DJ",7.97927188873291
"Abbott, Andrew","Hicks, Aaron",1.3285738229751587
"Abbott, Andrew","Hill, Rich",0.5787414312362671
"Abbott, Andrew","Hill, Tim",0.9305994510650635
"Abbott, Andrew","Hjelle, Sean",18.706205368041992
"Abbott, Andrew","Hodge, Porter",8.524258613586426
"Abbott, Andrew","Hoeing, Bryan",10.207402229309082
"Abbott, Andrew","Hoffman, Jeff",26.796567916870117
"Abbott, Andrew","Holderman, Colin",7.668848991394043
"Abbott, Andrew","Hollowell, Gavin",3.1199207305908203
"Abbott, Andrew","Holman, Grant",0.10060346126556396
"Abbott, Andrew","Holmes, Clay",9.950251579284668
"Abbott, Andrew","Holmes, Grant",18.225812911987305
"Abbott, Andrew","Holton, Tyler",19.94518280029297
"Abbott, Andrew","Horn, Bailey",2.745844841003418
"Abbott, Andrew","Houck, Tanner",16.738079071044922
"Abbott, Andrew","Hudson, Bryan",10.592062950134277
"Abbott, Andrew","Hudson, Daniel",12.509315490722656
"Abbott, Andrew","Hughes, Brandon",1.3487805128097534
"Abbott, Andrew","Hurt, Kyle",3.09025239944458
"Abbott, Andrew","Hurter, Brant",14.322542190551758
"Abbott, Andrew","Iglesias, Raisel",22.892963409423828
"Abbott, Andrew","Imanaga, Shota",37.42723083496094
"Abbott, Andrew","Irvin, Cole",2.147446632385254
"Abbott, Andrew","Irvin, Jake",19.836763381958008
"Abbott, Andrew","Jackson, Jay",9.432634353637695
"Abbott, Andrew","Jackson, Luke",1.7843902111053467
"Abbott, Andrew","Jacob, Alek",7.251384735107422
"Abbott, Andrew","Jacques, Joe",1.5508671998977661
"Abbott, Andrew","Jansen, Kenley",14.036072731018066
"Abbott, Andrew","Jax, Griffin",30.561067581176758
"Abbott, Andrew","Jefferies, Daulton",3.392989158630371
"Abbott, Andrew","Jiménez, Joe",18.666213989257812
"Abbott, Andrew","Jobe, Jackson",2.488966941833496
"Abbott, Andrew","Johnson, Pierce",7.2289228439331055
"Abbott, Andrew","Jones, Jared",21.359216690063477
"Abbott, Andrew","Joyce, Ben",0.17969930171966553
"Abbott, Andrew","Junis, Jakob",15.660174369812012
"Abbott, Andrew","Junk, Janson",0.649760365486145
"Abbott, Andrew","Justice, Evan",2.036917209625244
"Abbott, Andrew","Kahnle, Tommy",5.8839263916015625
"Abbott, Andrew","Keller, Brad",0.44185253977775574
"Abbott, Andrew","Keller, Mitch",17.464099884033203
"Abbott, Andrew","Kelly, Casey",3.525881767272949
"Abbott, Andrew","Kelly, Kevin",18.04718589782715
"Abbott, Andrew","Kelly, Merrill",8.659261703491211
"Abbott, Andrew","Kelly, Zack",4.668460845947266
"Abbott, Andrew","Kerkering, Orion",12.359417915344238
"Abbott, Andrew","Kerr, Ray",4.171424388885498
"Abbott, Andrew","Kershaw, Clayton",2.211698055267334
"Abbott, Andrew","Kikuchi, Yusei",36.63887405395508
"Abbott, Andrew","Kilian, Caleb",1.0162619352340698
"Abbott, Andrew","Kimbrel, Craig",0.7035394310951233
"Abbott, Andrew","Kiner-Falefa, Isiah",0.3782612681388855
"Abbott, Andrew","King, Bryan",4.000620365142822
"Abbott, Andrew","King, John",5.519052028656006
"Abbott, Andrew","King, Michael",21.90355110168457
"Abbott, Andrew","Kinley, Tyler",6.681039333343506
"Abbott, Andrew","Kirby, George",39.163482666015625
"Abbott, Andrew","Kitchen, Austin",1.1280661821365356
"Abbott, Andrew","Kittredge, Andrew",17.018693923950195
"Abbott, Andrew","Knack, Landon",12.114877700805664
"Abbott, Andrew","Knizner, Andrew",0.32762593030929565
"Abbott, Andrew","Koch, Matt",1.3229180574417114
"Abbott, Andrew","Koenig, Jared",7.532164573669434
"Abbott, Andrew","Kolek, Stephen",4.1669487953186035
"Abbott, Andrew","Kopech, Michael",7.099728107452393
"Abbott, Andrew","Kremer, Dean",4.380391597747803
"Abbott, Andrew","Kristofak, Zac",0.9903899431228638
"Abbott, Andrew","Krook, Matt",2.232429027557373
"Abbott, Andrew","Kuhnel, Joel",3.558900833129883
"Abbott, Andrew","La Sorsa, Joe",4.120429039001465
"Abbott, Andrew","Lambert, Peter",1.8120592832565308
"Abbott, Andrew","Lamet, Dinelson",2.3531689643859863
"Abbott, Andrew","Law, Derek",15.67630672454834
"Abbott, Andrew","Lazar, Max",5.232873916625977
"Abbott, Andrew","Leahy, Kyle",10.771720886230469
"Abbott, Andrew","Leclerc, José",6.814117431640625
"Abbott, Andrew","Lee, Dylan",25.954561233520508
"Abbott, Andrew","Legumina, Casey",2.9334287643432617
"Abbott, Andrew","Leibrandt, Brandon",2.2397375106811523
"Abbott, Andrew","Leiter Jr., Mark",16.18189811706543
"Abbott, Andrew","Liberatore, Matthew",11.994538307189941
"Abbott, Andrew","Littell, Zack",26.490489959716797
"Abbott, Andrew","Little, Brendon",2.233302116394043
"Abbott, Andrew","Lively, Ben",7.458608150482178
"Abbott, Andrew","Lodolo, Nick",5.587324619293213
"Abbott, Andrew","Logue, Zach",4.304494857788086
"Abbott, Andrew","Long, Sam",7.202362060546875
"Abbott, Andrew","Loutos, Ryan",1.3758255243301392
"Abbott, Andrew","Lovelady, Richard",4.613434314727783
"Abbott, Andrew","Lowder, Rhett",0.7010496854782104
"Abbott, Andrew","Loáisiga, Jonathan",2.786165714263916
"Abbott, Andrew","Lugo, Seth",24.13047981262207
"Abbott, Andrew","Luzardo, Jesús",7.737461090087891
"Abbott, Andrew","Lyles, Jordan",1.9511994123458862
"Abbott, Andrew","Lynch IV, Daniel",6.256980895996094
"Abbott, Andrew","Lynn, Lance",8.83364486694336
"Abbott, Andrew","López, Jorge",6.184852600097656
"Abbott, Andrew","López, Pablo",36.614498138427734
"Abbott, Andrew","López, Reynaldo",22.228261947631836
"Abbott, Andrew","Maciejewski, Josh",3.9888625144958496
"Abbott, Andrew","Madden, Ty",0.8327010869979858
"Abbott, Andrew","Maeda, Kenta",15.241983413696289
"Abbott, Andrew","Mahle, Tyler",1.9202561378479004
"Abbott, Andrew","Maldonado, Anthony",4.506811618804932
"Abbott, Andrew","Manaea, Sean",11.745591163635254
"Abbott, Andrew","Manning, Matt",2.2478437423706055
"Abbott, Andrew","Manoah, Alek",5.910127639770508
"Abbott, Andrew","Mantiply, Joe",14.729047775268555
"Abbott, Andrew","Marinaccio, Ron",1.4982324838638306
"Abbott, Andrew","Marsh, Alec",11.80653190612793
"Abbott, Andrew","Marte, Yunior",0.3650030493736267
"Abbott, Andrew","Martin, Chris",20.582225799560547
"Abbott, Andrew","Martinez, Justin",15.444911003112793
"Abbott, Andrew","Martinez, Nick",31.52359390258789
"Abbott, Andrew","Matsui, Yuki",11.103580474853516
"Abbott, Andrew","Matthews, Zebby",11.705689430236816
"Abbott, Andrew","Mattson, Isaac",0.9241033792495728
"Abbott, Andrew","Matz, Steven",0.4141327142715454
"Abbott, Andrew","Matzek, Tyler",4.756239414215088
"Abbott, Andrew","Mayza, Tim",2.122178554534912
"Abbott, Andrew","McArthur, James",16.61042594909668
"Abbott, Andrew","McDermott, Chayce",1.6887258291244507
"Abbott, Andrew","McDonald, Trevor",1.8121567964553833
"Abbott, Andrew","McFarland, T.J.",5.539420127868652
"Abbott, Andrew","McGreevy, Michael",6.259320259094238
"Abbott, Andrew","McKinstry, Zach",1.439663052558899
"Abbott, Andrew","McMillon, John",5.011851787567139
"Abbott, Andrew","Means, John",6.627438545227051
"Abbott, Andrew","Mears, Nick",16.648839950561523
"Abbott, Andrew","Meeker, James",1.3634010553359985
"Abbott, Andrew","Megill, Trevor",17.482807159423828
"Abbott, Andrew","Megill, Tylor",8.560441017150879
"Abbott, Andrew","Mena, Cristian",0.5386673212051392
"Abbott, Andrew","Meyer, Max",2.025554656982422
"Abbott, Andrew","Mikolas, Miles",30.49201202392578
"Abbott, Andrew","Miller, Bryce",22.659391403198242
"Abbott, Andrew","Miller, Erik",3.551466464996338
"Abbott, Andrew","Miller, Mason",32.69562530517578
"Abbott, Andrew","Miller, Owen",1.259393334388733
"Abbott, Andrew","Miller, Ryan",2.482947826385498
"Abbott, Andrew","Miller, Shelby",7.917510509490967
"Abbott, Andrew","Miller, Tyson",8.925850868225098
"Abbott, Andrew","Milner, Hoby",15.215362548828125
"Abbott, Andrew","Minter, A.J.",9.497638702392578
"Abbott, Andrew","Misiewicz, Anthony",1.9539204835891724
"Abbott, Andrew","Mize, Casey",8.43656063079834
"Abbott, Andrew","Mlodzinski, Carmen",5.775154113769531
"Abbott, Andrew","Moll, Sam",5.595599174499512
"Abbott, Andrew","Montas, Frankie",1.277637243270874
"Abbott, Andrew","Montero, Keider",5.0160322189331055
"Abbott, Andrew","Montgomery, Mason",5.408380508422852
"Abbott, Andrew","Morejon, Adrian",12.351921081542969
"Abbott, Andrew","Morgan, Eli",6.111155033111572
"Abbott, Andrew","Morton, Charlie",3.145960807800293
"Abbott, Andrew","Muller, Kyle",11.177607536315918
"Abbott, Andrew","Musgrove, Joe",10.110825538635254
"Abbott, Andrew","Muñoz, Andrés",7.755834102630615
"Abbott, Andrew","Myers, Tobias",13.588973999023438
"Abbott, Andrew","Márquez, Germán",0.06572908163070679
"Abbott, Andrew","Nance, Tommy",3.820199489593506
"Abbott, Andrew","Nardi, Andrew",17.87646484375
"Abbott, Andrew","Neely, Jack",2.996859550476074
"Abbott, Andrew","Nelson, Kyle",3.663482666015625
"Abbott, Andrew","Nelson, Nick",2.767385959625244
"Abbott, Andrew","Nelson, Ryne",22.864404678344727
"Abbott, Andrew","Neris, Héctor",4.27787446975708
"Abbott, Andrew","Nittoli, Vinny",4.747437000274658
"Abbott, Andrew","Nola, Aaron",25.636091232299805
"Abbott, Andrew","Núñez, Dedniel",16.208127975463867
"Abbott, Andrew","O'Brien, Riley",0.5389491319656372
"Abbott, Andrew","O'Loughlin, Jack",0.2140141725540161
"Abbott, Andrew","Ober, Bailey",31.814651489257812
