winner,loser,score
Aaron Judge,Blake Dunn,19.999309539794922
Aaron Judge,Blake Perkins,20.863346099853516
Aaron Judge,Blake Sabol,19.63038444519043
Aaron Judge,Blaze Alexander,21.343446731567383
Aaron Judge,Bligh Madris,20.523128509521484
Aaron Judge,Bo Bichette,22.091018676757812
Aaron Judge,Bo Naylor,29.65061378479004
Aaron Judge,Bobby Dalbec,22.755340576171875
Aaron Judge,Bobby Witt,12.949504852294922
Aaron Judge,Braden Shewmake,21.113609313964844
Aaron Judge,Brandon Crawford,21.421260833740234
Aaron Judge,Brandon Drury,18.59794807434082
Aaron Judge,Brandon Lockridge,20.381248474121094
Aaron Judge,Brandon Lowe,22.07692527770996
Aaron Judge,Brandon Marsh,24.303218841552734
Aaron Judge,Brandon Nimmo,9.784111022949219
Aaron Judge,Brayan Rocchio,14.015765190124512
Aaron Judge,Brendan Donovan,6.524770736694336
Aaron Judge,Brendan Rodgers,23.943214416503906
Aaron Judge,Brent Rooker,19.830490112304688
Aaron Judge,Brenton Doyle,21.100513458251953
Aaron Judge,Brett Baty,19.791885375976562
Aaron Judge,Brett Harris,16.107234954833984
Aaron Judge,Brett Sullivan,20.24993896484375
Aaron Judge,Brett Wisely,25.29679298400879
Aaron Judge,Brewer Hicklen,20.53006362915039
Aaron Judge,Brian Anderson,20.099193572998047
Aaron Judge,Brian Serven,19.96209716796875
Aaron Judge,Brice Turang,18.030380249023438
Aaron Judge,Brooks Baldwin,22.46688461303711
Aaron Judge,Brooks Lee,19.89467430114746
Aaron Judge,Bryan De la cruz,34.690765380859375
Aaron Judge,Bryan Ramos,19.700237274169922
Aaron Judge,Bryan Reynolds,18.191225051879883
Aaron Judge,Bryce Harper,14.53420639038086
Aaron Judge,Bryce Johnson,19.59099578857422
Aaron Judge,Bryce Teodosio,20.743892669677734
Aaron Judge,Bryson Stott,14.648183822631836
Aaron Judge,Bubba Thompson,21.786693572998047
Aaron Judge,Buddy Kennedy,19.56401824951172
Aaron Judge,Byron Buxton,21.724029541015625
Aaron Judge,Cade Marlowe,19.682174682617188
Aaron Judge,Cal Raleigh,19.066753387451172
Aaron Judge,Cal Stevenson,19.029869079589844
Aaron Judge,Carlos Correa,12.359241485595703
Aaron Judge,Carlos Narváez,19.642475128173828
Aaron Judge,Carlos Santana,9.867178916931152
Aaron Judge,Carson Kelly,15.95274829864502
Aaron Judge,Casey Schmitt,22.033828735351562
Aaron Judge,Cavan Biggio,18.81110191345215
Aaron Judge,Ceddanne Rafaela,32.14508056640625
Aaron Judge,Cedric Mullins,18.91737174987793
Aaron Judge,Chadwick Tromp,22.06883430480957
Aaron Judge,Charles Leblanc,18.579458236694336
Aaron Judge,Charlie Blackmon,14.928443908691406
Aaron Judge,Chas Mccormick,22.575998306274414
Aaron Judge,Chris Roller,20.071521759033203
Aaron Judge,Chris Taylor,19.838871002197266
Aaron Judge,Christian Bethancourt,23.082347869873047
Aaron Judge,Christian Encarnacion-strand,23.193140029907227
Aaron Judge,Christian Vázquez,24.1884765625
Aaron Judge,Christian Walker,16.409786224365234
Aaron Judge,Christian Yelich,12.672569274902344
Aaron Judge,Christopher Morel,15.393775939941406
Aaron Judge,Chuckie Robinson,20.594409942626953
Aaron Judge,Cj Abrams,19.30702018737793
Aaron Judge,Cj Alexander,20.551631927490234
Aaron Judge,Coby Mayo,20.65755844116211
Aaron Judge,Cody Bellinger,21.53728485107422
Aaron Judge,Cole Tucker,20.23944854736328
Aaron Judge,Colt Keith,23.090810775756836
Aaron Judge,Colton Cowser,24.732833862304688
Aaron Judge,Conner Capel,20.184463500976562
Aaron Judge,Connor Joe,13.116223335266113
Aaron Judge,Connor Norby,22.216609954833984
Aaron Judge,Connor Wong,22.656723022460938
Aaron Judge,Cooper Hummel,20.23569107055664
Aaron Judge,Corbin Carroll,7.07477331161499
Aaron Judge,Corey Julks,21.483238220214844
Aaron Judge,Corey Seager,17.388050079345703
Aaron Judge,Cristian Pache,22.202770233154297
Aaron Judge,Curt Casali,17.260644912719727
Aaron Judge,Curtis Mead,21.348846435546875
Aaron Judge,César Salazar,19.258094787597656
Aaron Judge,Dairon Blanco,21.326711654663086
Aaron Judge,Dan Vogelbach,19.719703674316406
Aaron Judge,Dane Myers,20.692676544189453
Aaron Judge,Daniel Schneemann,20.44090461730957
Aaron Judge,Danny Jansen,11.609152793884277
Aaron Judge,Danny Mendick,20.77235221862793
Aaron Judge,Dansby Swanson,19.68551254272461
Aaron Judge,Darell Hernaiz,18.987764358520508
Aaron Judge,Darren Baker,20.466049194335938
