i,j,D,W
Aaron Hicks,David Dahl,0.0012813001613831369,5827.2922407809765
Aaron Hicks,David Fletcher,-0.000952448644230712,5820.272816278932
Aaron Hicks,David Fry,-0.007260499455633058,5882.511713530397
Aaron Hicks,David Hamilton,0.003061062976583969,5855.369938789157
Aaron Hicks,David Hensley,-0.000459124259523513,5824.952432613628
Aaron Hicks,David Peralta,-0.0020999849725075194,5859.347612673647
Aaron Hicks,David Villar,0.0005987376495193602,5827.2922407809765
Aaron Hicks,Davis Schneider,-0.00196858473872064,5928.137972742702
Aaron Hicks,Davis Wendzel,2.778783329811757e-05,5822.61262444628
Aaron Hicks,Daz Cameron,0.0004099696895467649,5853.030130621808
Aaron Hicks,Derek Hill,0.005040369430245515,5843.670897952415
Aaron Hicks,Diego Castillo,-0.002070023459405753,5820.272816278932
Aaron Hicks,Dillon Dingler,0.002362978197043614,5829.632048948324
Aaron Hicks,Dj Lemahieu,-0.004942711937970136,5834.311665283021
Aaron Hicks,Dj Stewart,-0.007361997171239056,5855.369938789156
Aaron Hicks,Dominic Canzone,0.0019006352779037863,5853.732073072012
Aaron Hicks,Dominic Fletcher,0.003056900087041349,5836.65147345037
Aaron Hicks,Dominic Smith,-0.0020617975342428767,5881.575790263457
Aaron Hicks,Donovan Solano,-0.003315633962408813,5854.200034705481
Aaron Hicks,Donovan Walton,-0.0012880488556504884,5822.612624446279
Aaron Hicks,Drew Millas,-9.73518768052838e-05,5827.2922407809765
Aaron Hicks,Drew Romo,0.0010082889344532001,5831.971857115673
Aaron Hicks,Drew Waters,-0.0008278842255703665,5822.612624446279
Aaron Hicks,Duke Ellis,-0.0007805160451774014,5820.272816278932
Aaron Hicks,Dustin Harris,-0.0010694867672033635,5820.272816278932
Aaron Hicks,Dylan Carlson,0.0014421655596655056,5867.302960442633
Aaron Hicks,Dylan Crews,-0.0018570175519139866,5835.481569366696
Aaron Hicks,Dylan Moore,-0.010786941892914955,5923.926318092463
Aaron Hicks,Eddie Rosario,0.004939089990787931,5861.219459207527
Aaron Hicks,Eddy Alvarez,-0.001723716327892474,5820.272816278932
Aaron Hicks,Edmundo Sosa,0.0017776181702801968,5852.562168988339
Aaron Hicks,Edouard Julien,0.001485834992299461,5896.550562534487
Aaron Hicks,Edward Olivares,-0.0024807039184593224,5836.651473450369
Aaron Hicks,Edwin Ríos,-0.0006892369410500447,5820.272816278932
Aaron Hicks,Eguy Rosario,0.0017001311788359741,5824.952432613629
Aaron Hicks,Ehire Adrianza,0.00034191989505868195,5822.612624446279
Aaron Hicks,Elehuris Montero,-0.0001945953840192265,5843.202936318944
Aaron Hicks,Eli White,-0.00038553566189866554,5820.272816278932
Aaron Hicks,Elly De la cruz,0.0049030927610905625,6020.660672794858
Aaron Hicks,Eloy Jiménez,-0.0007283250709836566,5858.41168940671
Aaron Hicks,Elías Díaz,-0.0008300714363023143,5854.200034705482
Aaron Hicks,Emmanuel Rivera,-0.0024359081300660856,5856.539842872831
Aaron Hicks,Enmanuel Valdez,0.001562531995234805,5852.328188171603
Aaron Hicks,Enrique Hernández,-0.0002525886501784584,5861.921401657731
Aaron Hicks,Eric Haase,0.002912931569333367,5828.46214486465
Aaron Hicks,Eric Wagaman,0.0009115075932236414,5827.2922407809765
Aaron Hicks,Eric Yang,-0.0009514429730985621,5820.272816278932
Aaron Hicks,Ernie Clement,-0.0005909278824432198,5831.971857115674
Aaron Hicks,Esteury Ruiz,0.000104629722182619,5835.481569366695
Aaron Hicks,Estevan Florial,0.0015723332706899704,5850.322638313876
Aaron Hicks,Eugenio Suárez,0.0023809178702481467,5963.4690761206475
Aaron Hicks,Evan Carter,-0.0002439382183071509,5836.65147345037
Aaron Hicks,Ezequiel Duran,0.0017093667957999556,5860.751497574057
Aaron Hicks,Ezequiel Tovar,0.019774202036178926,5954.460814636203
Aaron Hicks,Fernando Tatís,-0.0029212711896673357,5893.508811865947
Aaron Hicks,Forrest Wall,-0.0012126811077662258,5824.952432613627
Aaron Hicks,Francisco Lindor,-0.0055870202306106285,5919.246701757765
Aaron Hicks,Francisco Álvarez,-0.0015805461593519385,5872.918499993281
Aaron Hicks,Freddie Freeman,-0.016824430591946334,5914.567085423068
Aaron Hicks,Freddy Fermin,-0.0019271487779460917,5850.690322454459
Aaron Hicks,Gabriel Arias,0.005561193146692482,5837.821377534045
Aaron Hicks,Gabriel Moreno,-0.010325748608072803,5857.709746956504
Aaron Hicks,Garrett Cooper,-9.390548173135926e-05,5838.991281617718
Aaron Hicks,Garrett Hampson,0.003926407543866505,5845.542744486293
Aaron Hicks,Garrett Mitchell,0.0005144070478817094,5867.770922076103
Aaron Hicks,Garrett Stubbs,-0.0008865267312471867,5850.690322454459
Aaron Hicks,Gary Sánchez,-0.002359401503653701,5858.879651040179
