,winner,loser,score
315,Anthony Rendon,Freddie Freeman,0
316,Anthony Rendon,Giancarlo Stanton,0
317,Anthony Rendon,Matt Adams,0
318,Anthony Rendon,Paul Goldschmidt,7
319,Anthony Rendon,Pedro Alvarez,9
320,Anthony Rendon,Starling Marte,0
321,Anthony Rendon,Todd Frazier,10
322,Anthony Rendon,Tyler Moore,2
323,Tyler Moore,Anthony Rendon,2
324,Anthony Rizzo,Anthony Recker,0
325,Anthony Rizzo,Anthony Rendon,0
326,Anthony Rizzo,Brandon Crawford,0
327,Anthony Rizzo,Buster Posey,11
328,Anthony Rizzo,Carlos Gomez,23
329,Anthony Rizzo,Charlie Blackmon,17
330,Anthony Rizzo,Dj Lemahieu,8
331,Anthony Rizzo,Emilio Bonifacio,6
332,Anthony Rizzo,Evan Longoria,15
333,Anthony Rizzo,Freddie Freeman,0
334,Anthony Rizzo,Gregory Polanco,8
335,Anthony Rizzo,Ike Davis,14
336,Anthony Rizzo,J. j. Hardy,6
337,Anthony Rizzo,Jacoby Ellsbury,6
338,Anthony Rizzo,Jean Segura,14
339,Anthony Rizzo,Jedd Gyorko,7
340,Anthony Rizzo,Jhonny Peralta,0
341,Anthony Rizzo,Jimmy Rollins,14
342,Anthony Rizzo,Joey Votto,0
343,Anthony Rizzo,Jon Jay,6
344,Anthony Rizzo,Justin Upton,7
345,Anthony Rizzo,Kevin Kiermaier,14
346,Anthony Rizzo,Luis Valbuena,9
347,Luis Valbuena,Anthony Rizzo,9
348,Anthony Rizzo,Matt Adams,0
349,Anthony Rizzo,Pedro Alvarez,2
350,Pedro Alvarez,Anthony Rizzo,2
351,Anthony Rizzo,Rickie Weeks,0
352,Anthony Rizzo,Ryan Howard,11
353,Anthony Rizzo,Starlin Castro,0
354,Anthony Rizzo,Todd Frazier,2
355,Anthony Rizzo,Tyler Moore,8
356,Anthony Rizzo,Welington Castillo,9
357,Anthony Rizzo,Yasiel Puig,20
358,Anthony Rizzo,Zack Cozart,18
359,Aramis Ramirez,Andrew Mccutchen,1
360,Andrew Mccutchen,Aramis Ramirez,1
361,Aramis Ramirez,Brandon Belt,0
362,Aramis Ramirez,Buster Posey,0
363,Aramis Ramirez,Charlie Blackmon,0
364,Aramis Ramirez,Giancarlo Stanton,0
365,Aramis Ramirez,Khris Davis,3
366,Khris Davis,Aramis Ramirez,3
367,Aramis Ramirez,Miguel Montero,0
368,Arismendy Alcantara,Pablo Sandoval,0
369,Asdrubal Cabrera,Adam Jones,3
370,Adam Jones,Asdrubal Cabrera,3
371,Asdrubal Cabrera,Conor Gillaspie,7
372,Asdrubal Cabrera,Josh Harrison,6
373,Asdrubal Cabrera,Josh Willingham,0
374,Asdrubal Cabrera,Mark Teixeira,0
375,Asdrubal Cabrera,Matthew Joyce,1
376,Asdrubal Cabrera,Michael Bourn,3
377,Michael Bourn,Asdrubal Cabrera,3
378,Asdrubal Cabrera,Michael Brantley,0
379,Asdrubal Cabrera,Miguel Cabrera,2
380,Asdrubal Cabrera,Ryan Flaherty,0
381,Austin Jackson,Alcides Escobar,0
382,Austin Jackson,Alejandro De aza,3
383,Alejandro De aza,Austin Jackson,3
384,Austin Jackson,Brian Mccann,3
385,Brian Mccann,Austin Jackson,3
386,Austin Jackson,Chone Figgins,1
387,Chone Figgins,Austin Jackson,1
388,Austin Jackson,Chris Davis,0
389,Austin Jackson,David Murphy,0
390,Austin Jackson,Evan Longoria,3
391,Evan Longoria,Austin Jackson,3
392,Austin Jackson,Jed Lowrie,0
393,Austin Jackson,Joe Panik,0
394,Austin Jackson,Jonathan Schoop,0
395,Austin Jackson,Jordan Schafer,2
396,Austin Jackson,Josh Rutledge,0
397,Austin Jackson,Josmil Pinto,0
398,Austin Jackson,José Abreu,1
399,José Abreu,Austin Jackson,1
400,Austin Jackson,Kurt Suzuki,3
401,Austin Jackson,Lyle Overbay,3
402,Lyle Overbay,Austin Jackson,3
403,Austin Jackson,Matt Wieters,0
404,Austin Jackson,Michael Bourn,2
405,Austin Jackson,Miguel Cabrera,0
406,Austin Jackson,Torii Hunter,0
407,Austin Jackson,Victor Martinez,0
408,Avisail Garcia,Alexei Ramírez,2
409,Avisail Garcia,J. j. Hardy,1
410,J. j. Hardy,Avisail Garcia,1
411,Avisail Garcia,Nick Markakis,2
412,B. j. Upton,Freddie Freeman,16
413,Freddie Freeman,B. j. Upton,16
414,B. j. Upton,Giancarlo Stanton,6
415,B. j. Upton,Marcell Ozuna,7
416,B. j. Upton,Paul Goldschmidt,12
417,B. j. Upton,Robinson Chirinos,0
418,B. j. Upton,Yoenis Céspedes,3
419,Ben Paulsen,Freddie Freeman,0
420,Ben Paulsen,Giancarlo Stanton,0
421,Ben Paulsen,Jacoby Ellsbury,4
422,Ben Revere,Anthony Rendon,0
423,Ben Revere,Drew Stubbs,3
424,Drew Stubbs,Ben Revere,3
425,Ben Revere,Freddie Freeman,3
426,Freddie Freeman,Ben Revere,3
427,Ben Zobrist,Adam Dunn,0
428,Ben Zobrist,Adam Eaton,5
429,Ben Zobrist,Alejandro De aza,0
430,Ben Zobrist,Chris Davis,7
431,Ben Zobrist,Danny Santana,2
432,Ben Zobrist,Lorenzo Cain,0
433,Ben Zobrist,Michael Saunders,0
434,Ben Zobrist,Travis Snider,6
435,Ben Zobrist,Yasiel Puig,6
436,Billy Butler,Alex Gordon,5
437,Billy Butler,Alex Rios,2
438,Billy Butler,Brett Gardner,1
439,Billy Butler,Brian Mccann,0
440,Billy Butler,Chris Davis,2
441,Billy Butler,Danny Santana,0
442,Billy Butler,Dayán Viciedo,6
443,Dayán Viciedo,Billy Butler,6
444,Billy Butler,Derek Norris,0
445,Billy Butler,Elvis Andrus,1
446,Billy Butler,Evan Longoria,0
447,Billy Butler,Gordon Beckham,3
448,Gordon Beckham,Billy Butler,3
449,Billy Butler,Jacoby Ellsbury,0
450,Billy Butler,José Abreu,0
451,Billy Butler,Kole Calhoun,5
452,Kole Calhoun,Billy Butler,5
453,Billy Butler,Leonys Martín,7
454,Billy Butler,Lorenzo Cain,3
455,Billy Butler,Miguel Cabrera,3
456,Miguel Cabrera,Billy Butler,3
