Player,Rank
"Kelly, Michael",-250640.35382036047
"Alexander, Scott",-250640.6787716304
"Quintana, Jose",-250640.9312280069
"Staumont, Josh",-250641.1516053443
"Green, Chad",-250641.44045583182
"Kelly, Kevin",-250641.4832997192
"Aldegheri, Sam",-250641.97962708765
"Gonzales, Marco",-250642.04033581965
"Bido, Osvaldo",-250642.2824842776
"Ferguson, Caleb",-250642.61506784486
"Wicks, Jordan",-250642.626923462
"Lorenzen, Michael",-250642.7699015038
"Suarez, Robert",-250642.8669914083
"Vásquez, Randy",-250642.96413061811
"García, Yimi",-250643.03473341244
"Hernández, Jonathan",-250643.11692667287
"Jackson, Jay",-250643.62344881677
"Aguiar, Julian",-250643.76166480358
"Bivens, Spencer",-250643.81514991372
"Lange, Alex",-250643.978784514
"Henry, Tommy",-250644.05928420124
"Gibson, Kyle",-250644.20714302393
"Bazardo, Eduard",-250644.33208142847
"Jansen, Kenley",-250644.393507408
"Bird, Jake",-250644.42013212212
"Smith, Drew",-250644.66147431076
"Suter, Brent",-250644.68053311986
"Walston, Blake",-250644.72438311682
"Chivilli, Angel",-250645.04551136086
"Fleming, Josh",-250645.4176019615
"Holman, Grant",-250645.46566285015
"Berroa, Prelander",-250645.59733127095
"Devenski, Chris",-250645.97342472686
"Tyler, Kyle",-250646.0590865965
"Matthews, Zebby",-250646.08773211294
"Strickland, Hunter",-250646.1066390684
"Moll, Sam",-250646.227780719
"Ginn, J.T.",-250647.37217532302
"Thorpe, Drew",-250647.67377626259
"Pennington, Walter",-250647.73160320005
"Vesia, Alex",-250647.7676675443
"De Los Santos, Enyel",-250647.81611519982
"Little, Luke",-250647.98312625298
"Wilson, Steven",-250648.02022975346
"Quijada, José",-250648.02275914422
"Ureña, José",-250648.12487406848
"Wrobleski, Justin",-250648.32467432122
"Burr, Ryan",-250648.53866684786
"Payamps, Joel",-250648.79814218867
"Hughes, Brandon",-250648.8521487765
"Houser, Adrian",-250648.98348201634
"McKenzie, Triston",-250649.15026775014
"Medina, Luis",-250649.20406509528
"Bummer, Aaron",-250649.4230163894
"Anderson, Tyler",-250649.44171336247
"Lawrence, Justin",-250649.57373240936
"Montero, Rafael",-250649.60959135383
"Ginkel, Kevin",-250649.63268578547
"Kershaw, Clayton",-250649.6463820892
"Flexen, Chris",-250649.99790332306
"Morgan, Eli",-250650.53484523823
"Ellard, Fraser",-250650.86270149876
"Tinoco, Jesus",-250650.90271867334
"Rainey, Tanner",-250650.92124761874
"Toussaint, Touki",-250651.0648808936
"Richards, Trevor",-250651.383966231
"Yarbrough, Ryan",-250651.38483637277
"Chirinos, Yonny",-250651.47914649476
"Ramírez, Yohan",-250651.48030852192
"Paxton, James",-250651.85747339018
"Stratton, Chris",-250651.9684523267
"Marte, Yunior",-250652.10025107698
"Leasure, Jordan",-250652.16866313884
"Pérez, Cionel",-250652.4466989029
"Stroman, Marcus",-250652.5556959666
"Adams, Austin",-250652.56931594652
"Jarvis, Bryce",-250652.63495030277
"Boyle, Joe",-250653.03576295235
"Nastrini, Nick",-250653.04031817126
"Burke, Sean",-250653.04672721616
"Vieira, Thyago",-250653.12728843687
"Kuhl, Chad",-250653.20602248432
"Montgomery, Jordan",-250653.2449276125
"Lowder, Rhett",-250653.25739365927
"Quantrill, Cal",-250653.35632409708
"Soto, Gregory",-250653.68301587395
"Miller, Bobby",-250653.8870606294
"Fairbanks, Pete",-250653.88947451164
"Beede, Tyler",-250653.93185305665
"Anderson, Chase",-250654.0153427103
"Suarez, José",-250654.02344277475
"Roycroft, Chris",-250654.20389786226
"Burke, Brock",-250654.4285850807
"Roupp, Landen",-250654.56370166125
"Funderburk, Kody",-250654.65559177857
"Latz, Jacob",-250654.6785808401
"Kochanowicz, Jack",-250654.7389999213
"Criswell, Cooper",-250654.75717256006
"Crouse, Hans",-250654.8967006445
"Garabito, Gerson",-250654.90874878815
"McArthur, James",-250655.07377915908
"Mayza, Tim",-250655.15454131144
"Smith, Burch",-250655.1672212896
"Voth, Austin",-250655.53554087275
"Sims, Lucas",-250655.55537607928
"Boyd, Matthew",-250655.5567051734
"Mazur, Adam",-250655.65889304774
"Thompson, Ryan",-250655.75061148932
"Hoeing, Bryan",-250656.00680799998
"Hancock, Emerson",-250656.07755662405
"Wood, Alex",-250656.08760944946
"Walker, Taijuan",-250656.34421754538
"Anderson, Justin",-250656.42806315699
"Buehler, Walker",-250656.44782644833
"Abbott, Andrew",-250656.76565070063
"Molina, Anthony",-250656.7976351682
"Booser, Cam",-250656.8021637097
"McCaughan, Darren",-250656.93906666074
"Peralta, Wandy",-250657.12279437284
"Mlodzinski, Carmen",-250657.17619359522
"Joyce, Ben",-250657.3833941314
"Peguero, Elvis",-250657.4383675251
"Weems, Jordan",-250657.45111971
"Pop, Zach",-250657.58458666748
"Martinez, Seth",-250657.62052845984
"Harris, Hogan",-250657.89819140005
"Rodríguez, Manuel",-250657.9193808656
"Jiménez, Dany",-250658.02400616588
"Cantillo, Joey",-250658.1957476392
"Moore, Matt",-250658.32711685094
"Dubin, Shawn",-250658.34929639805
"Maton, Phil",-250658.39386737542
"Smith, Will",-250658.42060990655
"Gallegos, Giovanny",-250658.47196911473
"Speier, Gabe",-250658.66398247227
"Muller, Kyle",-250658.72407482646
"Garrett, Braxton",-250658.75084516426
"Manning, Matt",-250658.94521603605
"Lynch IV, Daniel",-250658.9555069621
"Chargois, JT",-250658.97632531097
"Birdsong, Hayden",-250659.22622062525
"Canning, Griffin",-250659.4192735271
"Brazobán, Huascar",-250659.56714557443
"Rogers, Trevor",-250659.5983404001
"Brewer, Colten",-250660.15164785538
"Ray, Robbie",-250660.206651992
"Jackson, Luke",-250660.45997462329
"Soriano, José",-250660.5184297096
"Williams, Devin",-250660.6140783984
"Hernández, Carlos",-250660.71537612577
"Holmes, Grant",-250660.7725677546
"Criswell, Jeff",-250660.8551511862
"Bellozo, Valente",-250661.35533493728
"Ramirez, Emmanuel",-250661.83178966327
"Anderson, Nick",-250661.9033889157
"Miller, Tyson",-250661.90449885195
"Faedo, Alex",-250662.06511301734
"King, John",-250662.08024400813
"Hicks, Jordan",-250662.22842901776
"Holmes, Clay",-250662.48997035585
"Varland, Gus",-250663.19555525482
"Barnes, Jacob",-250663.26415317232
"Black, Mason",-250663.30756983257
"Oller, Adam",-250663.61475970273
"Hill, Tim",-250663.74230344174
"Baumann, Mike",-250663.76934785885
"Buttó, José",-250664.1099097851
"Daniel, Davis",-250664.19711844096
"Cleavinger, Garrett",-250664.66196522294
"Vest, Will",-250664.75767310004
"Long, Sam",-250665.13717559425
"Vodnik, Victor",-250665.57573093235
"García, Luis",-250665.67817962397
"Okert, Steven",-250665.72526521143
"Nicolas, Kyle",-250665.88717184568
"Wilson, Justin",-250666.10352310486
"Stripling, Ross",-250666.17134547222
"Poche, Colin",-250666.2345607137
"Kolek, Stephen",-250666.56031151614
"Winn, Keaton",-250666.57759610933
"Matz, Steven",-250666.85255234828
"Blach, Ty",-250666.96614842376
"Rodriguez, Eduardo",-250667.1183458153
"Kahnle, Tommy",-250667.33500558895
"Soriano, George",-250667.34905622428
"Contreras, Roansy",-250667.3757151988
"Swanson, Erik",-250667.7490170907
"Phillips, Evan",-250667.94583703694
"Thielbar, Caleb",-250668.4733045032
"Cabrera, Edward",-250668.6191206789
"Assad, Javier",-250668.7795490591
"Meyer, Max",-250668.82622555873
"Williams, Gavin",-250669.06583552028
"Little, Brendon",-250669.12740416426
"Lambert, Peter",-250669.41475433082
"Fulmer, Carson",-250669.42718455155
"Scott, Tayler",-250669.62827484685
"Cecconi, Slade",-250669.9584953394
"Lovelady, Richard",-250670.02365943842
"Pressly, Ryan",-250670.05696142692
"Hall, DL",-250670.32914682617
"Hodge, Porter",-250670.46804439469
"Foley, Jason",-250670.52259068348
"Martinez, Justin",-250670.73873633533
"Soroka, Michael",-250670.9348183865
"Salazar, Eduardo",-250670.97440317442
"Elder, Bryce",-250671.1497863215
"Turnbull, Spencer",-250671.49385983517
"Barlow, Scott",-250671.5802227074
"Brown, Ben",-250671.78921947506
"Varland, Louis",-250672.4716541956
"Yates, Kirby",-250672.57066065678
"Priester, Quinn",-250672.75697417915
"Martin, Davis",-250672.929858818
"Peterson, David",-250672.9330194212
"Rodríguez, Yariel",-250672.9341888419
"Díaz, Alexis",-250673.02897599633
"Sandoval, Patrick",-250673.392935658
"Allen, Logan",-250673.67608405897
"Williams, Trevor",-250673.86773532542
"Povich, Cade",-250674.00158169278
"Leiter Jr., Mark",-250674.38505626563
"Warren, Will",-250674.46058470375
"Young, Danny",-250674.7696724284
"Koenig, Jared",-250674.94993272907
"Chavez, Jesse",-250675.17681822108
"Alcala, Jorge",-250675.66623789078
"Bradish, Kyle",-250675.786074274
"Schreiber, John",-250675.82744698157
"Sandlin, Nick",-250676.03502453555
"Erceg, Lucas",-250676.068786419
"Domínguez, Seranthony",-250676.2775982178
"López, Jorge",-250676.36485119615
"Luzardo, Jesús",-250676.3807252344
"Doval, Camilo",-250676.48935972567
"Pérez, Martín",-250676.5096603617
"Darvish, Yu",-250676.76962990712
"Smyly, Drew",-250676.99070359432
"Chafin, Andrew",-250677.37976114804
"Saucedo, Tayler",-250677.8132420518
"Ottavino, Adam",-250677.8761723962
"Muñoz, Andrés",-250678.13888709128
"Pallante, Andre",-250678.4424640782
"Miller, Shelby",-250678.63949761936
"Alvarado, José",-250678.64963051214
"Estévez, Carlos",-250678.88388442819
"Finnegan, Kyle",-250678.9665269674
"Armstrong, Shawn",-250679.22766512903
"Faucher, Calvin",-250679.4891604035
"Herrin, Tim",-250679.9643466266
"Garrett, Reed",-250680.45593115242
"Neris, Héctor",-250680.5121085598
"Fernandez, Ryan",-250680.8008796236
"Blackburn, Paul",-250680.916265476
"Zerpa, Angel",-250680.97904280148
"King, Bryan",-250681.1713289225
"Feltner, Ryan",-250681.2933233936
"Grove, Michael",-250681.4472482613
"Mears, Nick",-250681.7090455188
"Hudson, Daniel",-250681.81308975557
