Player,ScaledRank
"Sammons, Bryan",-9094194.898041002
"Toussaint, Touki",-9094200.63503254
"Tyler, Kyle",-9094201.497729097
"Quantrill, Cal",-9094201.695907293
"Bird, Jake",-9094205.058721943
"Pennington, Walter",-9094206.133902349
"Cabrera, Génesis",-9094220.419841167
"Palencia, Daniel",-9094228.928545652
"Boyle, Joe",-9094230.39099196
"Speier, Gabe",-9094232.14677154
"Daniel, Davis",-9094235.360558044
"Bazardo, Eduard",-9094244.002140777
"Brewer, Colten",-9094249.09834766
"Bradley, Taj",-9094255.106152067
"Montero, Rafael",-9094258.232851626
"Hudson, Dakota",-9094258.310663914
"Jiménez, Dany",-9094259.896176312
"Ryan, River",-9094264.447743272
"Jarvis, Bryce",-9094270.082640836
"Little, Luke",-9094271.67883593
"Funderburk, Kody",-9094273.477995072
"Hall, DL",-9094277.95888667
"Warren, Will",-9094280.713730713
"Thompson, Zack",-9094282.92560503
"Latz, Jacob",-9094289.193373496
"Kochanowicz, Jack",-9094293.148802163
"Williams, Devin",-9094297.596192101
"Hoeing, Bryan",-9094299.748173095
"McCaughan, Darren",-9094300.28174298
"Weems, Jordan",-9094315.652230285
"Aguiar, Julian",-9094323.211194357
"Ashcraft, Graham",-9094323.499899454
"Ginn, J.T.",-9094336.359401206
"Wrobleski, Justin",-9094349.149556575
"Chivilli, Angel",-9094352.00068233
"Thorpe, Drew",-9094356.321402246
"Nastrini, Nick",-9094361.179429805
"Richards, Trevor",-9094373.354280075
"Waldron, Matt",-9094374.793648675
"Strahm, Matt",-9094377.723065412
"Akin, Keegan",-9094377.903635355
"Lovelady, Richard",-9094377.931788888
"Suter, Brent",-9094381.550289731
"Holmes, Grant",-9094382.53443722
"Brito, Jhony",-9094392.101114323
"Kolek, Stephen",-9094394.321331788
"Blach, Ty",-9094396.0181235
"Stratton, Chris",-9094400.05933552
"Springs, Jeffrey",-9094403.522986678
"Varland, Gus",-9094406.835134612
"Povich, Cade",-9094407.093680512
"Stratton, Hunter",-9094408.316288473
"Canning, Griffin",-9094408.61162322
"Floro, Dylan",-9094413.634203702
"Stroman, Marcus",-9094426.740697175
"Rodriguez, Eduardo",-9094430.712271312
"Smith, Burch",-9094432.333241006
"Sandoval, Patrick",-9094434.63558348
"Bowman, Matt",-9094435.290810607
"Hughes, Brandon",-9094440.177379826
"Sims, Lucas",-9094443.4024926
"Medina, Luis",-9094443.470190534
"Nicolas, Kyle",-9094444.925204616
"Thompson, Ryan",-9094444.996237189
"Adams, Austin",-9094452.273305228
"Marinaccio, Ron",-9094459.857568838
"Hernández, Jonathan",-9094461.959463548
"Keller, Brad",-9094463.248044651
"Lawrence, Justin",-9094465.22930379
"Vieira, Thyago",-9094468.274135154
"Ramírez, Yohan",-9094470.782852033
"Kerr, Ray",-9094473.301683035
"Kinley, Tyler",-9094474.373846594
"Gaddis, Hunter",-9094478.991237715
"Berroa, Prelander",-9094480.230156625
"Johnson, Pierce",-9094484.684156228
"Tate, Dillon",-9094488.183378585
"Mantiply, Joe",-9094488.894786954
"Hernández, Carlos",-9094492.599311663
"Muñoz, Roddery",-9094492.882180732
"Kershaw, Clayton",-9094495.592356937
"Smith, Drew",-9094495.913559895
"Miller, Shelby",-9094505.257818311
"Leasure, Jordan",-9094506.710818557
"Paxton, James",-9094511.032948082
"Montgomery, Jordan",-9094515.260745777
"Miller, Bobby",-9094521.934521768
"Wood, Alex",-9094525.704895886
"Heaney, Andrew",-9094528.922076888
"Olson, Reese",-9094531.023636922
"Kelly, Joe",-9094531.364478057
"Black, Mason",-9094533.293356102
"Webb, Jacob",-9094545.597994234
"Jones, Jared",-9094546.995267566
"Rogers, Trevor",-9094549.592968954
"Matz, Steven",-9094553.478351615
"Rainey, Tanner",-9094553.57944778
"Birdsong, Hayden",-9094559.796636574
"Baz, Shane",-9094562.097496536
"Blalock, Bradley",-9094562.504143288
"Bradford, Cody",-9094563.44077671
"Roycroft, Chris",-9094565.438053042
"Yarbrough, Ryan",-9094574.785747537
"Martinez, Seth",-9094578.059748784
"Morgan, Eli",-9094579.257282123
"Moore, Matt",-9094584.598183593
"Ray, Robbie",-9094588.623113863
"Sands, Cole",-9094603.668827442
"Criswell, Jeff",-9094605.219691858
"Anderson, Chase",-9094606.028099716
"Chirinos, Yonny",-9094611.636580655
"Poche, Colin",-9094613.580112856
"Tinoco, Jesus",-9094619.94819665
"Holton, Tyler",-9094620.612371186
"Woodford, Jake",-9094632.61521671
"Lorenzen, Michael",-9094635.998774372
"Anderson, Justin",-9094636.584063143
"Molina, Anthony",-9094638.612291392
"Nardi, Andrew",-9094639.545933196
"Quintana, Jose",-9094647.042710194
"Swanson, Erik",-9094647.50407362
"Payamps, Joel",-9094653.164163247
"Pop, Zach",-9094654.731551513
"Feltner, Ryan",-9094666.580484673
"Rodríguez, Manuel",-9094671.430734888
"Maton, Phil",-9094677.377004739
"Santillan, Tony",-9094687.289558658
"Smith, Will",-9094689.536241401
"Hudson, Bryan",-9094691.470505485
"Hancock, Emerson",-9094692.955186687
"Abbott, Andrew",-9094694.377723541
"Hader, Josh",-9094697.556220483
"Matsui, Yuki",-9094704.174715785
"King, Bryan",-9094706.134787332
"Kuhl, Chad",-9094718.528015846
"McKenzie, Triston",-9094723.478191268
"Leiter, Jack",-9094725.641331337
"Chargois, JT",-9094731.15260797
"Vásquez, Randy",-9094753.969446814
"Roupp, Landen",-9094754.40983191
"Walker, Taijuan",-9094757.112662813
"Booser, Cam",-9094757.535220217
"Avila, Pedro",-9094761.215431008
"Mayza, Tim",-9094776.566139273
"Bido, Osvaldo",-9094780.708649615
"Crouse, Hans",-9094783.185352473
"Hill, Tim",-9094789.941577565
"Maeda, Kenta",-9094791.241930118
"Reid-Foley, Sean",-9094794.790489536
"Vodnik, Victor",-9094801.761873389
"Baumann, Mike",-9094803.486228881
"Dubin, Shawn",-9094807.151946412
"Buehler, Walker",-9094810.497613411
"Oller, Adam",-9094815.391750379
"Cleavinger, Garrett",-9094817.768713033
"Saucedo, Tayler",-9094818.822953839
"Treinen, Blake",-9094818.994135473
"Morejon, Adrian",-9094819.32808548
"Moll, Sam",-9094838.089149136
"Priester, Quinn",-9094846.736947764
"Díaz, Alexis",-9094855.380528057
"Little, Brendon",-9094876.674754763
"Farmer, Buck",-9094884.747887034
"Barlow, Scott",-9094885.530015646
"Kremer, Dean",-9094889.701411562
"Koenig, Jared",-9094893.079740137
"Weissert, Greg",-9094893.806114266
"Young, Danny",-9094911.457573446
"Cantillo, Joey",-9094913.1062126
"Smyly, Drew",-9094917.048351938
"Varland, Louis",-9094917.222450158
"Lambert, Peter",-9094935.71256443
"Soriano, José",-9094942.699092563
"Leclerc, José",-9094944.640062787
"Javier, Cristian",-9094969.659616373
"Harvey, Hunter",-9094979.066990552
"Weathers, Ryan",-9094980.520658758
"Fulmer, Carson",-9094988.866942532
"Ureña, José",-9094989.735230166
"Anderson, Nick",-9094993.63590895
"Garrett, Braxton",-9095003.978781229
"Scott, Christian",-9095004.613876365
"Jansen, Kenley",-9095005.166017381
"Mlodzinski, Carmen",-9095019.916747103
"Meyer, Max",-9095025.704326363
"Clase, Emmanuel",-9095029.540617518
"Bello, Brayan",-9095031.145801345
"Law, Derek",-9095031.656296505
"McFarland, T.J.",-9095032.616213158
"Soto, Gregory",-9095037.693165787
"Cousins, Jake",-9095046.729445718
"Ruiz, José",-9095046.892352665
"Diekman, Jake",-9095052.601173338
"Wilson, Steven",-9095055.570760276
"Jackson, Luke",-9095057.274160042
"Allen, Logan",-9095066.462205919
"Neris, Héctor",-9095067.277852979
"Burke, Brock",-9095068.463379273
"Harris, Hogan",-9095076.838353323
"Buttó, José",-9095082.978682986
"Faedo, Alex",-9095089.267974993
"Martin, Davis",-9095103.143319106
"Okert, Steven",-9095105.859097883
"Rodríguez, Yariel",-9095114.560913837
"Elder, Bryce",-9095114.936028142
"Alcala, Jorge",-9095116.841809563
"Thielbar, Caleb",-9095130.196484316
"Voth, Austin",-9095151.57056451
"Soroka, Michael",-9095154.328063672
"Armstrong, Shawn",-9095196.614625959
"Ferguson, Caleb",-9095214.877044253
"Irvin, Cole",-9095224.230930129
"Contreras, Roansy",-9095228.371963697
"Peterson, David",-9095230.430509664
"Winn, Keaton",-9095232.007433003
"Blanco, Ronel",-9095235.894497717
"Sandlin, Nick",-9095244.012918396
"Flexen, Chris",-9095260.041534409
"Phillips, Evan",-9095261.94715785
"Hudson, Daniel",-9095263.950217787
"Adam, Jason",-9095273.16841441
"Bellozo, Valente",-9095295.104403727
"Turnbull, Spencer",-9095298.15475828
"Peguero, Elvis",-9095348.598957308
"Vest, Will",-9095352.283242775
"Montero, Keider",-9095361.76207338
"Zerpa, Angel",-9095369.933652923
"Erceg, Lucas",-9095372.753204195
"Wilson, Justin",-9095376.32204264
"Lynch IV, Daniel",-9095388.703998795
"Santana, Dennis",-9095390.746342117
"Cecconi, Slade",-9095391.20860536
"Wicks, Jordan",-9095399.419818414
"Assad, Javier",-9095419.94595883
"Thornton, Trent",-9095424.945734806
"Anderson, Tyler",-9095427.000241319
"Blackburn, Paul",-9095433.367751965
"Alvarado, José",-9095434.024169557
"Cabrera, Edward",-9095439.528943272
"Pérez, Martín",-9095440.084900806
"Miller, Tyson",-9095442.506227821
"Suarez, Robert",-9095449.593912192
"Faucher, Calvin",-9095451.494512957
"Stanek, Ryne",-9095454.561393958
"Criswell, Cooper",-9095458.59031598
"Martinez, Justin",-9095462.374388851
"Bradish, Kyle",-9095474.203076253
"Barnes, Jacob",-9095486.696449233
"Garrett, Reed",-9095491.885272514
"Grove, Michael",-9095496.589620728
"Corbin, Patrick",-9095501.345645273
"Megill, Tylor",-9095536.92689481
"Bernardino, Brennan",-9095538.707721248
"Bednar, David",-9095544.40876481
"Pallante, Andre",-9095555.723819217
"Boyd, Matthew",-9095567.4042972
"Winckowski, Josh",-9095571.05216647
"Kimbrel, Craig",-9095587.734948883
"Fernandez, Ryan",-9095611.523528393
"Fairbanks, Pete",-9095626.425533982
"Rogers, Taylor",-9095655.286763504
"Chavez, Jesse",-9095672.853806885
"Hodge, Porter",-9095674.668655366
"Rodríguez, Randy",-9095676.846111843
"Wesneski, Hayden",-9095677.542795766
"Schreiber, John",-9095680.09794926
"Dunning, Dane",-9095682.955046795
"Morton, Charlie",-9095686.149743173
"Tonkin, Michael",-9095690.53977474
"Paddack, Chris",-9095699.20357292
"Foley, Jason",-9095702.28502052
"Domínguez, Seranthony",-9095702.625517415
"Luzardo, Jesús",-9095707.651352646
"Brebbia, John",-9095715.71815226
"Chafin, Andrew",-9095731.459076349
"Kelly, Merrill",-9095740.495681182
"Brieske, Beau",-9095743.917762384
"Lively, Ben",-9095744.442453587
"Williams, Gavin",-9095758.83735695
"Abreu, Bryan",-9095762.409452528
"Wentz, Joey",-9095765.69587907
"Banks, Tanner",-9095768.35678692
"Ginkel, Kevin",-9095768.74985448
"Ottavino, Adam",-9095768.845344668
"Cannon, Jonathan",-9095783.445514213
"Jiménez, Joe",-9095790.572773738
"Herrin, Tim",-9095792.642393682
"Liberatore, Matthew",-9095794.549344776
"Montas, Frankie",-9095794.581721533
"Ross, Joe",-9095799.608003866
"Kelly, Zack",-9095801.588336779
"Vesia, Alex",-9095813.61330807
"Lodolo, Nick",-9095814.437916292
"Scott, Tayler",-9095817.675480608
"Holderman, Colin",-9095830.809479302
"Suárez, Albert",-9095851.44875445
"Greene, Hunter",-9095854.54764272
"Doval, Camilo",-9095857.366035359
"Finnegan, Kyle",-9095870.389585095
"Kittredge, Andrew",-9095874.864542898
"Mize, Casey",-9095878.986398617
"Gray, Jon",-9095891.1506362
"Díaz, Edwin",-9095895.840946948
"Wilson, Bryse",-9095898.345831653
